Skupaj_kilometri,skupaj_trajanje_aktivnosti_sek,poraba_kalorij
12879.7,2586,195.0
2054.89,351,21.0
1956.76,673,146.0
2037.46,411,20.0
6817.68,1033,46.0
1956.02,669,145.0
2111.87,357,17.0
18803.96,4469,331.0
57783.21,8613,1829.0
37586.44,8476,459.0
1944.86,665,135.0
17040.1,2726,184.0
68982.15,9287,1212.0
16256.76,2986,527.0
17081.25,1769,363.0
3676.07,446,5.0
6492.83,1037,248.0
23065.58,2695,529.0
0.0,1216,0.0
27682.3,8197,715.0
29966.48,6183,780.0
13820.88,1599,252.0
1518.79,215,10.0
1288.81,1934,1.0
1217.54,187,4.0
1304.58,221,4.0
12027.63,2232,257.0
5331.83,4498,337.0
10128.71,1648,198.0
23256.9,2800,463.0
11009.26,2640,263.0
57851.26,10676,2426.0
28196.71,4525,368.0
3221.36,1128,173.0
288.57,550,29.0
4911.86,1259,209.0
10997.13,3193,206.0
19985.7,2817,458.0
7076.7,1790,175.0
18887.1,5185,809.0
29066.07,7715,445.0
3469.87,2169,141.0
22794.9,4345,1110.0
4075.51,836,242.0
15002.37,2564,558.0
65456.35,10286,1472.0
39715.22,3987,622.0
89455.98,11754,1782.0
19384.87,4475,1350.0
81737.98,11342,2842.0
96677.96,18703,2547.0
27862.1,3708,629.0
26215.97,3606,482.0
11949.27,3758,301.0
72792.63,10515,1964.0
34452.96,6466,1121.0
12110.2,2035,240.0
17459.18,4548,403.0
11486.67,1779,352.0
53989.55,9836,850.0
6859.4,1727,122.0
29653.07,4452,429.0
39311.85,9418,1196.0
8571.11,1351,163.0
25230.94,6979,811.0
13697.98,3489,1089.0
24724.26,5148,379.0
10090.47,3629,480.0
24579.97,3736,369.0
10227.71,1452,31.0
5000.0,903,75.0
5000.0,1108,75.0
5000.0,1632,109.0
5000.0,639,45.0
5000.0,689,62.0
2630.2,404,31.0
11018.95,3057,467.0
17825.74,3259,447.0
11867.65,3662,295.0
64616.72,10976,2941.0
2042.93,271,110.0
2033.82,2720,48.0
15741.73,2406,433.0
120.34,26,0.0
356.96,144,0.0
4452.04,638,41.0
1721.44,193,10.0
2543.07,228,26.0
33011.45,5929,748.0
63802.85,10642,2558.0
0.64,6,0.0
38059.08,7808,795.0
4741.05,1026,214.0
25125.64,4440,433.0
100432.7,19872,3659.0
17543.02,2397,232.0
2525.01,285,17.0
2212.66,391,69.0
2755.4,320,16.0
56227.78,9596,768.0
2532.06,371,70.0
13250.84,2618,973.0
104707.68,14956,2520.0
10226.2,1728,289.0
7572.88,924,63.0
7631.57,1212,366.0
72690.76,13268,1614.0
2001.03,350,15.0
